round,region_bl,stud_sex_bl,school_name_bl,treatment,stud_level_baseline,stud_level_endline,innumeracy_bl,innumeracy_el,numeracy_bl,numeracy_el,learned_new_operation,level_diff,facilitator_id_bl
R7,North East,,Moroka,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM2010134
R7,North East,Male,Nlaphwane,Phone Call and SMS,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010134
R7,Other,,Boswa,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010134
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010134
R7,North East,,Mapoka,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM229897087
R7,South East,Male,Boswa,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM1910081
R7,Kgatleng,Male,Mmusi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM2010134
R7,South East,,Mokgosi-111,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM2010134
R7,Kgatleng,Male,Kgabotshwene,Phone Call and SMS,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM2010134
R7,South East,,Oodi,Phone Call and SMS,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,North East,,Gulubane,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM228387495
R7,Kgatleng,,Mmusi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,South East,,Kgosikgosi,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228387495
R7,South East,,Oodi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,Kgatleng,Male,Linchwe,Phone Call and SMS,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228387495
R7,South East,,Oodi,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,South East,,Tshiamo,Phone Call Only,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910081
R7,South East,,Boswa,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM228387495
R7,North East,Male,Ramokgwebana,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,South East,,Diphetogo,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM228387495
R7,Other,,Kasane,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,Other,,Kasane,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,North East,Male,Nlaphwane,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,Kgatleng,,Kgabosereto,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM228387495
R7,North East,,Nlaphwane,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228387495
R7,South East,Male,Ben Thema,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228387495
R7,North East,,Nlaphwane,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,North East,,Jackalas No.1,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910081
R7,North East,Male,Ramokgwebana,Phone Call and SMS,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228387495
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228387495
R7,South East,Male,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM228387495
R7,South East,Male,Boswa,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM228387495
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228387495
R7,North East,,Moroka,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228387495
R7,South East,Male,Ben Thema,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,North East,,Ramokgwebana,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228387495
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,Kgatleng,Male,Linchwe,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,Other,,Kasane,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM1910081
R7,North East,Male,Jackalas No.1,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228387495
R7,South East,Male,Boswa,Phone Call and SMS,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM228387495
R7,South East,,Ben Thema,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM228387495
R7,Kgatleng,,Mmusi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228387495
R7,North East,,Moroka,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM228387495
R7,South East,,Oodi,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM228387495
R7,Kgatleng,Male,Isang,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM228083919
R7,Kgatleng,,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM228083919
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM228083919
R7,Kgatleng,Male,Diphetogo,Phone Call and SMS,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Kgatleng,,Matebele,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1910114
R7,South East,Male,Kgosikgosi,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM228083919
R7,Other,,Jwana,Phone Call Only,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM228083919
R7,South East,,Boswa,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM228083919
R7,Kgatleng,Male,Isang,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM228083919
R7,Other,,Lesoma,Phone Call Only,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM228083919
R7,North East,Male,Jackalas No.1,Phone Call and SMS,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Kgatleng,,Oodi,Phone Call and SMS,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM228083919
R7,Other,Male,Lesoma,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228083919
R7,South East,Male,Boswa,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Kgatleng,Male,Kgabotshwene,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM228083919
R7,South East,,Ithuteng,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910081
R7,North East,Male,Jackalas No.1,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228083919
R7,North East,Male,Mambo,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM228083919
R7,South East,Male,Tshiamo,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228083919
R7,Other,,Boswa,Phone Call Only,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM228083919
R7,North East,Male,Kasane,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM228083919
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM228083919
R7,South East,Male,Tshiamo,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM228083919
R7,South East,,Diphetogo,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Other,Male,Kgosikgosi,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM228083919
R7,Kgatleng,,Sikwane,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910081
R7,South East,Male,Diphetogo,Phone Call Only,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM228083919
R7,Other,Male,,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228083919
R7,North East,,Masingwaneng,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM228083919
R7,Kgatleng,,Ben Thema,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM228083919
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM228083919
R7,North East,Male,Mapoka,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM228083919
R7,North East,,Jackalas No.1,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910123
R7,Kgatleng,Male,Matebele,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM228083919
R7,North East,,Jackalas No.1,Phone Call and SMS,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM221197953
R7,South East,Male,Linchwe,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM221197953
R7,Kgatleng,Male,Matebele,Phone Call and SMS,.u,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,,CM1910081
R7,Kgatleng,Male,Linchwe,Phone Call and SMS,Division,Subtraction,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM221197953
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM221197953
R7,Other,,Kasane,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM221197953
R7,South East,,Tshiamo,Phone Call and SMS,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM221197953
R7,North East,Male,Ramokgwebana,Phone Call Only,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM221197953
R7,North East,,Nlaphwane,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Kgatleng,Male,Linchwe,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM221197953
R7,North East,,Mapoka,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM221197953
R7,Kgatleng,,Mmusi,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM221197953
R7,South East,Male,Boswa,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM221197953
R7,South East,Male,Diphetogo,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM1910081
R7,North East,Male,Masokwane,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM221197953
R7,South East,Male,Diphetogo,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM221197953
R7,South East,,Boswa,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM221197953
R7,North East,Male,Jackalas No.1,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM221197953
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM221197953
R7,Kgatleng,Male,Matebele,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM221197953
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM221197953
R7,South East,Male,Tshiamo,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM221197953
R7,South East,,Boswa,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM221197953
R7,South East,,Mokgosi-111,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM221197953
R7,Kgatleng,Male,Isang,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910081
R7,South East,,Tshiamo,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM221197953
R7,North East,Male,Masingwaneng,Phone Call Only,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM221197953
R7,North East,Male,Moroka,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM221197953
R7,North East,,Nlaphwane,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Kgatleng,,Isang,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM221197953
R7,Kgatleng,Male,Linchwe,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM221197953
R7,South East,,Boswa,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM221197953
R7,Kgatleng,,Isang,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM221197953
R7,Kgatleng,Male,Linchwe,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM1810014
R7,North East,,Nlaphwane,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM1810014
R7,South East,,Diphetogo,Phone Call Only,Subtraction,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM229897087
R7,Kgatleng,,Oodi,Phone Call and SMS,.u,,Can at least add,,Cannot divide,,,,CM1910081
R7,South East,Male,Tshiamo,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1810014
R7,North East,,Jackalas No.1,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM1810014
R7,North East,Male,Moroka,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1810014
R7,South East,,Tshiamo,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM1810014
R7,South East,Male,Mokgosi-111,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1810014
R7,South East,,Diphetogo,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810014
R7,South East,Male,Tshiamo,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1810014
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Division,Subtraction,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810014
R7,Kgatleng,Male,Kgabotshwene,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1810014
R7,South East,,Diphetogo,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810014
R7,South East,Male,Diphetogo,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910081
R7,Kgatleng,,Mmusi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1810014
R7,Kgatleng,,Matebele,Phone Call Only,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810014
R7,South East,,Diphetogo,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM1810014
R7,North East,,Jackalas No.1,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM1810014
R7,South East,,Tshiamo,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810014
R7,Kgatleng,Male,Isang,Phone Call Only,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810014
R7,Kgatleng,,Oodi,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810014
R7,Kgatleng,Male,Kgabotshwene,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810014
R7,North East,,Moroka,Phone Call and SMS,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1810014
R7,Kgatleng,,Mmusi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1810002
R7,North East,,Mapoka,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910081
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,Other,Male,Kasane,Phone Call and SMS,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM224688785
R7,South East,Male,Ben Thema,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,South East,Male,Mokgosi-111,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224688785
R7,Kgatleng,,Kgabosereto,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,Other,,Boswa,Phone Call Only,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM224688785
R7,Kgatleng,,Matebele,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224688785
R7,South East,,Diphetogo,Phone Call Only,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM224688785
R7,South East,Male,Tshiamo,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Other,Male,Kgosikgosi,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM224688785
R7,Kgatleng,,Matebele,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1910081
R7,Other,Male,Lesoma,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,Kgatleng,,Mmusi,Phone Call Only,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM224688785
R7,Other,Male,Kasane,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM224688785
R7,Kgatleng,Male,Ntshinoge,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM224688785
R7,South East,Male,Boswa,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,South East,Male,Boswa,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810002
R7,North East,,Moroka,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224688785
R7,North East,Male,Matebele,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM224688785
R7,Kgatleng,Male,Oodi,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM224688785
R7,Other,,Lesoma,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM224688785
R7,South East,,Boswa,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM1910081
R7,Other,,Lesoma,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM224688785
R7,North East,,Jackalas No.1,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM224688785
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM224688785
R7,South East,,Tshiamo,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM224688785
R7,Kgatleng,Male,Matebele,Phone Call Only,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910123
R7,Kgatleng,Male,Linchwe,Phone Call and SMS,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM224688785
R7,North East,,Nlaphwane,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM224688785
R7,North East,,Nlaphwane,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM224688785
R7,Kgatleng,Male,Kgabotshwene,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224688785
R7,South East,,Oodi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM224688785
R7,Other,Male,Kgosikgosi,Phone Call and SMS,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910114
R7,South East,,Boswa,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225924481
R7,Other,,Kasane,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM225924481
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM225924481
R7,North East,,Nlaphwane,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM225924481
R7,North East,,Nlaphwane,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM225924481
R7,Kgatleng,Male,Isang,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225924481
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM225924481
R7,North East,,Moroka,Phone Call and SMS,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM225924481
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225924481
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225924481
R7,South East,,Diphetogo,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910081
R7,South East,Male,Tshiamo,Phone Call and SMS,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1810002
R7,North East,Male,Mapoka,Phone Call and SMS,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM225924481
R7,South East,Male,Tshiamo,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225924481
R7,South East,Male,Tshiamo,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM225924481
R7,Other,,Kasane,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225924481
R7,North East,,Gulubane,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM225924481
R7,South East,Male,Diphetogo,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM225924481
R7,South East,Male,Diphetogo,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM225924481
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810002
R7,South East,,Oodi,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM222722067
R7,South East,,Ben Thema,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910081
R7,South East,Male,Tshiamo,Phone Call and SMS,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM222722067
R7,South East,,Ben Thema,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM222722067
R7,South East,Male,Oodi,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM222722067
R7,North East,Male,Jackalas No.1,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM222722067
R7,Other,,Sikwane,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM222722067
R7,North East,Male,Mambo,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM222722067
R7,South East,,Boswa,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM222722067
R7,South East,Male,Oodi,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM222722067
R7,North East,,Gulubane,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM222722067
R7,South East,,Linchwe,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM222722067
R7,North East,Male,Moroka,Phone Call and SMS,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910081
